#           k/h    P           
 0.73746312E-04 0.32490915E+03
 0.82412909E-04 0.36171072E+03
 0.92098002E-04 0.40267731E+03
 0.10292127E-03 0.44827890E+03
 0.11501648E-03 0.49903809E+03
 0.12853311E-03 0.55553583E+03
 0.14363820E-03 0.61841711E+03
 0.16051844E-03 0.68839874E+03
 0.17938240E-03 0.76627533E+03
 0.20046326E-03 0.85292883E+03
 0.22402151E-03 0.94933551E+03
 0.25034833E-03 0.10565763E+04
 0.27976901E-03 0.11758455E+04
 0.31264720E-03 0.13084602E+04
 0.34938921E-03 0.14558716E+04
 0.39044913E-03 0.16196737E+04
 0.43633435E-03 0.18016135E+04
 0.48761195E-03 0.20036006E+04
 0.54491562E-03 0.22277144E+04
 0.60895365E-03 0.24762139E+04
 0.68051729E-03 0.27515381E+04
 0.76049106E-03 0.30563147E+04
 0.84986322E-03 0.33933516E+04
 0.94973837E-03 0.37656328E+04
 0.10613507E-02 0.41762930E+04
 0.11860797E-02 0.46285933E+04
 0.13254667E-02 0.51258643E+04
 0.14812343E-02 0.56714561E+04
 0.16553076E-02 0.62686587E+04
 0.18498377E-02 0.69206011E+04
 0.20672290E-02 0.76301270E+04
 0.23101678E-02 0.83996338E+04
 0.25816567E-02 0.92308906E+04
 0.28850504E-02 0.10124812E+05
 0.32240988E-02 0.11081211E+05
 0.36029920E-02 0.12098503E+05
 0.40264120E-02 0.13173370E+05
 0.44995924E-02 0.14300420E+05
 0.50283805E-02 0.15471771E+05
 0.50845630E-02 0.15590957E+05
 0.51413728E-02 0.15710467E+05
 0.51988177E-02 0.15830286E+05
 0.52569048E-02 0.15950411E+05
 0.53156405E-02 0.16070820E+05
 0.53750323E-02 0.16191502E+05
 0.54350882E-02 0.16312444E+05
 0.54958146E-02 0.16433627E+05
 0.55572200E-02 0.16555037E+05
 0.56193108E-02 0.16676660E+05
 0.56820959E-02 0.16798486E+05
 0.57455823E-02 0.16920486E+05
 0.58097783E-02 0.17042658E+05
 0.58746911E-02 0.17164973E+05
 0.59403297E-02 0.17287420E+05
 0.60067014E-02 0.17409986E+05
 0.60738144E-02 0.17532641E+05
 0.61416775E-02 0.17655377E+05
 0.62102992E-02 0.17778170E+05
 0.62796869E-02 0.17900996E+05
 0.63498504E-02 0.18023850E+05
 0.64207977E-02 0.18146701E+05
 0.64925379E-02 0.18269535E+05
 0.65650796E-02 0.18392320E+05
 0.66384315E-02 0.18515041E+05
 0.67126034E-02 0.18637680E+05
 0.67876037E-02 0.18760211E+05
 0.68634418E-02 0.18882609E+05
 0.69401278E-02 0.19004859E+05
 0.70176702E-02 0.19126932E+05
 0.70960792E-02 0.19248799E+05
 0.71753641E-02 0.19370441E+05
 0.72555346E-02 0.19491836E+05
 0.73366016E-02 0.19612955E+05
 0.74185738E-02 0.19733771E+05
 0.75014620E-02 0.19854262E+05
 0.75852764E-02 0.19974395E+05
 0.76700272E-02 0.20094145E+05
 0.77557247E-02 0.20213488E+05
 0.78423806E-02 0.20332395E+05
 0.79300040E-02 0.20450830E+05
 0.80186063E-02 0.20568771E+05
 0.81081986E-02 0.20686186E+05
 0.81987921E-02 0.20803041E+05
 0.82903979E-02 0.20919314E+05
 0.83830273E-02 0.21034965E+05
 0.84766913E-02 0.21149969E+05
 0.85714012E-02 0.21264289E+05
 0.86671701E-02 0.21377891E+05
 0.87640090E-02 0.21490750E+05
 0.88619301E-02 0.21602828E+05
 0.89609455E-02 0.21714086E+05
 0.90610664E-02 0.21824494E+05
 0.91623068E-02 0.21934016E+05
 0.92646778E-02 0.22042615E+05
 0.93681924E-02 0.22150256E+05
 0.94728637E-02 0.22256902E+05
 0.95787048E-02 0.22362518E+05
 0.96857287E-02 0.22467059E+05
 0.97939475E-02 0.22570494E+05
 0.99033760E-02 0.22672781E+05
 0.10014027E-01 0.22773883E+05
 0.10125915E-01 0.22873760E+05
 0.10239053E-01 0.22972371E+05
 0.10353453E-01 0.23069674E+05
 0.10469134E-01 0.23165633E+05
 0.10586106E-01 0.23260193E+05
 0.10704385E-01 0.23353328E+05
 0.10823986E-01 0.23444988E+05
 0.10944923E-01 0.23535133E+05
 0.11067212E-01 0.23623721E+05
 0.11190866E-01 0.23710699E+05
 0.11315903E-01 0.23796031E+05
 0.11442336E-01 0.23879674E+05
 0.11570182E-01 0.23961576E+05
 0.11699457E-01 0.24041699E+05
 0.11830175E-01 0.24119994E+05
 0.11962355E-01 0.24196416E+05
 0.12096011E-01 0.24270918E+05
 0.12231161E-01 0.24343453E+05
 0.12367820E-01 0.24413977E+05
 0.12506006E-01 0.24482438E+05
 0.12645737E-01 0.24548793E+05
 0.12787029E-01 0.24613000E+05
 0.12929899E-01 0.24674996E+05
 0.13074365E-01 0.24734746E+05
 0.13220446E-01 0.24792201E+05
 0.13368160E-01 0.24847311E+05
 0.13517523E-01 0.24900031E+05
 0.13668555E-01 0.24950307E+05
 0.13821275E-01 0.24998098E+05
 0.13975700E-01 0.25043346E+05
 0.14131852E-01 0.25086014E+05
 0.14289748E-01 0.25126051E+05
 0.14449408E-01 0.25163408E+05
 0.14610853E-01 0.25198039E+05
 0.14774101E-01 0.25229893E+05
 0.14939173E-01 0.25258930E+05
 0.15106089E-01 0.25285102E+05
 0.15274871E-01 0.25308359E+05
 0.15445538E-01 0.25328664E+05
 0.15618112E-01 0.25345963E+05
 0.15792614E-01 0.25360215E+05
 0.15969066E-01 0.25371375E+05
 0.16147491E-01 0.25379412E+05
 0.16327906E-01 0.25384266E+05
 0.16510339E-01 0.25385902E+05
 0.16694810E-01 0.25384279E+05
 0.16881343E-01 0.25379369E+05
 0.17069960E-01 0.25371117E+05
 0.17260684E-01 0.25359500E+05
 0.17453538E-01 0.25344471E+05
 0.17648548E-01 0.25326002E+05
 0.17845737E-01 0.25304055E+05
 0.18045127E-01 0.25278604E+05
 0.18246748E-01 0.25249615E+05
 0.18450620E-01 0.25217062E+05
 0.18656770E-01 0.25180912E+05
 0.18865222E-01 0.25141148E+05
 0.19076005E-01 0.25097740E+05
 0.19289143E-01 0.25050682E+05
 0.19504661E-01 0.24999930E+05
 0.19722588E-01 0.24945492E+05
 0.19942950E-01 0.24887332E+05
 0.20165775E-01 0.24825461E+05
 0.20391088E-01 0.24759846E+05
 0.20618919E-01 0.24690496E+05
