#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.737463E-04   0.196436E+08   0.196436E+08   0.255122E+08   0.255112E+08   0.000000E+00   0.196436E+08   0.196436E+08   0.190085E+08  -0.479115E+00   0.101763E+08   0.101763E+08   0.419413E-01
   0.824129E-04   0.196429E+08   0.196429E+08   0.253448E+08   0.253435E+08   0.000000E+00   0.196429E+08   0.196429E+08   0.190083E+08  -0.479066E+00   0.101759E+08   0.101759E+08   0.468528E-01
   0.920980E-04   0.196421E+08   0.196421E+08   0.251371E+08   0.251356E+08   0.000000E+00   0.196421E+08   0.196421E+08   0.190082E+08  -0.479005E+00   0.101754E+08   0.101754E+08   0.523385E-01
   0.102921E-03   0.196410E+08   0.196410E+08   0.248799E+08   0.248780E+08   0.000000E+00   0.196410E+08   0.196410E+08   0.190079E+08  -0.478928E+00   0.101748E+08   0.101748E+08   0.584609E-01
   0.115016E-03   0.196396E+08   0.196396E+08   0.245622E+08   0.245598E+08   0.000000E+00   0.196396E+08   0.196396E+08   0.190077E+08  -0.478834E+00   0.101741E+08   0.101741E+08   0.652922E-01
   0.128533E-03   0.196379E+08   0.196379E+08   0.241705E+08   0.241676E+08   0.000000E+00   0.196379E+08   0.196379E+08   0.190073E+08  -0.478716E+00   0.101731E+08   0.101731E+08   0.729109E-01
   0.143638E-03   0.196358E+08   0.196358E+08   0.236895E+08   0.236860E+08   0.000000E+00   0.196358E+08   0.196358E+08   0.190069E+08  -0.478570E+00   0.101719E+08   0.101719E+08   0.814034E-01
   0.160518E-03   0.196332E+08   0.196332E+08   0.231011E+08   0.230968E+08   0.000000E+00   0.196332E+08   0.196332E+08   0.190064E+08  -0.478390E+00   0.101704E+08   0.101704E+08   0.908660E-01
   0.179382E-03   0.196300E+08   0.196300E+08   0.223851E+08   0.223800E+08   0.000000E+00   0.196300E+08   0.196300E+08   0.190058E+08  -0.478166E+00   0.101686E+08   0.101686E+08   0.101400E+00
   0.200463E-03   0.196259E+08   0.196259E+08   0.215196E+08   0.215136E+08   0.000000E+00   0.196259E+08   0.196259E+08   0.190050E+08  -0.477890E+00   0.101663E+08   0.101663E+08   0.113117E+00
   0.224022E-03   0.196209E+08   0.196209E+08   0.204820E+08   0.204750E+08   0.000000E+00   0.196209E+08   0.196209E+08   0.190041E+08  -0.477551E+00   0.101635E+08   0.101635E+08   0.126135E+00
   0.250348E-03   0.196148E+08   0.196148E+08   0.192512E+08   0.192432E+08   0.000000E+00   0.196148E+08   0.196148E+08   0.190029E+08  -0.477136E+00   0.101601E+08   0.101601E+08   0.140582E+00
   0.279769E-03   0.196072E+08   0.196072E+08   0.178104E+08   0.178014E+08   0.000000E+00   0.196072E+08   0.196072E+08   0.190016E+08  -0.476628E+00   0.101558E+08   0.101558E+08   0.156587E+00
   0.312647E-03   0.195978E+08   0.195978E+08   0.161519E+08   0.161421E+08   0.000000E+00   0.195978E+08   0.195978E+08   0.190001E+08  -0.476013E+00   0.101506E+08   0.101506E+08   0.174288E+00
   0.349389E-03   0.195864E+08   0.195864E+08   0.142836E+08   0.142735E+08   0.000000E+00   0.195864E+08   0.195864E+08   0.189983E+08  -0.475273E+00   0.101442E+08   0.101442E+08   0.193827E+00
   0.390449E-03   0.195725E+08   0.195725E+08   0.122365E+08   0.122267E+08   0.000000E+00   0.195725E+08   0.195725E+08   0.189962E+08  -0.474388E+00   0.101365E+08   0.101365E+08   0.215339E+00
   0.436334E-03   0.195556E+08   0.195556E+08   0.100727E+08   0.100639E+08   0.000000E+00   0.195556E+08   0.195556E+08   0.189939E+08  -0.473342E+00   0.101272E+08   0.101272E+08   0.238966E+00
   0.487612E-03   0.195353E+08   0.195353E+08   0.789068E+07   0.788396E+07   0.000000E+00   0.195353E+08   0.195353E+08   0.189913E+08  -0.472122E+00   0.101161E+08   0.101161E+08   0.264846E+00
   0.544916E-03   0.195111E+08   0.195110E+08   0.582413E+07   0.582039E+07   0.000000E+00   0.195111E+08   0.195111E+08   0.189885E+08  -0.470718E+00   0.101029E+08   0.101029E+08   0.293121E+00
   0.608954E-03   0.194824E+08   0.194824E+08   0.402690E+07   0.402665E+07   0.000000E+00   0.194824E+08   0.194824E+08   0.189853E+08  -0.469131E+00   0.100874E+08   0.100874E+08   0.323938E+00
   0.680517E-03   0.194488E+08   0.194488E+08   0.263964E+07   0.264251E+07   0.000000E+00   0.194488E+08   0.194488E+08   0.189817E+08  -0.467373E+00   0.100695E+08   0.100695E+08   0.357458E+00
   0.760491E-03   0.194100E+08   0.194100E+08   0.173852E+07   0.174296E+07   0.000000E+00   0.194100E+08   0.194100E+08   0.189772E+08  -0.465466E+00   0.100490E+08   0.100490E+08   0.393895E+00
   0.849863E-03   0.193657E+08   0.193656E+08   0.128309E+07   0.128655E+07   0.000000E+00   0.193657E+08   0.193657E+08   0.189711E+08  -0.463443E+00   0.100259E+08   0.100259E+08   0.433483E+00
   0.949738E-03   0.193157E+08   0.193155E+08   0.110136E+07   0.110146E+07   0.000000E+00   0.193156E+08   0.193156E+08   0.189624E+08  -0.461340E+00   0.100002E+08   0.100002E+08   0.476512E+00
   0.106135E-02   0.192598E+08   0.192596E+08   0.957845E+06   0.954098E+06   0.000000E+00   0.192597E+08   0.192597E+08   0.189492E+08  -0.459188E+00   0.997172E+07   0.997172E+07   0.523315E+00
   0.118608E-02   0.191979E+08   0.191977E+08   0.704848E+06   0.699239E+06   0.000000E+00   0.191978E+08   0.191978E+08   0.189296E+08  -0.457001E+00   0.994050E+07   0.994050E+07   0.574238E+00
   0.132547E-02   0.191296E+08   0.191294E+08   0.404271E+06   0.398588E+06   0.000000E+00   0.191296E+08   0.191296E+08   0.189015E+08  -0.454774E+00   0.990623E+07   0.990623E+07   0.629638E+00
   0.148123E-02   0.190545E+08   0.190542E+08   0.236992E+06   0.228852E+06   0.000000E+00   0.190544E+08   0.190544E+08   0.188628E+08  -0.452483E+00   0.986849E+07   0.986849E+07   0.689869E+00
   0.165531E-02   0.189715E+08   0.189712E+08   0.222249E+06   0.208086E+06   0.000000E+00   0.189714E+08   0.189714E+08   0.188122E+08  -0.450095E+00   0.982670E+07   0.982669E+07   0.755329E+00
   0.184984E-02   0.188795E+08   0.188791E+08   0.173029E+06   0.158625E+06   0.000000E+00   0.188795E+08   0.188795E+08   0.187481E+08  -0.447571E+00   0.978017E+07   0.978016E+07   0.826460E+00
   0.206723E-02   0.187771E+08   0.187766E+08   0.692576E+05   0.646992E+05   0.000000E+00   0.187771E+08   0.187771E+08   0.186696E+08  -0.444866E+00   0.972814E+07   0.972813E+07   0.903732E+00
   0.231017E-02   0.186627E+08   0.186621E+08   0.598283E+05   0.577920E+05   0.000000E+00   0.186626E+08   0.186626E+08   0.185752E+08  -0.441930E+00   0.966975E+07   0.966974E+07   0.987623E+00
   0.258166E-02   0.185346E+08   0.185338E+08   0.438076E+05   0.356614E+05   0.000000E+00   0.185344E+08   0.185344E+08   0.184637E+08  -0.438713E+00   0.960409E+07   0.960409E+07   0.107866E+01
   0.288505E-02   0.183907E+08   0.183898E+08   0.220096E+05   0.131738E+05   0.000000E+00   0.183906E+08   0.183906E+08   0.183335E+08  -0.435162E+00   0.953020E+07   0.953019E+07   0.117740E+01
   0.322410E-02   0.182293E+08   0.182281E+08   0.235769E+05   0.112778E+05   0.000000E+00   0.182291E+08   0.182291E+08   0.181833E+08  -0.431225E+00   0.944707E+07   0.944706E+07   0.128441E+01
   0.360299E-02   0.180482E+08   0.180468E+08   0.113644E+05   0.292398E+04   0.000000E+00   0.180480E+08   0.180480E+08   0.180114E+08  -0.426848E+00   0.935367E+07   0.935366E+07   0.140028E+01
   0.402641E-02   0.178455E+08   0.178437E+08   0.381758E+04  -0.373690E+04   0.000000E+00   0.178452E+08   0.178452E+08   0.178160E+08  -0.421979E+00   0.924894E+07   0.924892E+07   0.152561E+01
   0.449959E-02   0.176190E+08   0.176168E+08   0.921948E+04   0.355690E+04   0.000000E+00   0.176187E+08   0.176187E+08   0.175954E+08  -0.416563E+00   0.913183E+07   0.913180E+07   0.166098E+01
   0.502838E-02   0.173667E+08   0.173639E+08   0.602544E+04   0.165008E+05   0.000000E+00   0.173663E+08   0.173663E+08   0.173479E+08  -0.410549E+00   0.900125E+07   0.900122E+07   0.180691E+01
   0.508456E-02   0.173400E+08   0.173372E+08   0.601938E+04   0.164594E+05   0.000000E+00   0.173395E+08   0.173395E+08   0.173216E+08  -0.409913E+00   0.898741E+07   0.898739E+07   0.182210E+01
   0.514137E-02   0.173130E+08   0.173101E+08   0.531782E+04   0.162904E+05   0.000000E+00   0.173125E+08   0.173125E+08   0.172949E+08  -0.409270E+00   0.897343E+07   0.897340E+07   0.183741E+01
   0.519882E-02   0.172857E+08   0.172827E+08   0.404151E+04   0.160790E+05   0.000000E+00   0.172852E+08   0.172852E+08   0.172680E+08  -0.408621E+00   0.895930E+07   0.895927E+07   0.185282E+01
   0.525690E-02   0.172581E+08   0.172551E+08   0.248210E+04   0.159138E+05   0.000000E+00   0.172576E+08   0.172576E+08   0.172409E+08  -0.407965E+00   0.894502E+07   0.894499E+07   0.186834E+01
   0.531564E-02   0.172302E+08   0.172271E+08   0.102672E+04   0.158735E+05   0.000000E+00   0.172297E+08   0.172297E+08   0.172134E+08  -0.407302E+00   0.893059E+07   0.893056E+07   0.188398E+01
   0.537503E-02   0.172021E+08   0.171989E+08   0.508596E+02   0.160074E+05   0.000000E+00   0.172016E+08   0.172016E+08   0.171856E+08  -0.406633E+00   0.891601E+07   0.891598E+07   0.189973E+01
   0.543509E-02   0.171736E+08   0.171704E+08  -0.191104E+03   0.163168E+05   0.000000E+00   0.171731E+08   0.171731E+08   0.171575E+08  -0.405956E+00   0.890128E+07   0.890124E+07   0.191559E+01
   0.549581E-02   0.171449E+08   0.171416E+08   0.355163E+03   0.167450E+05   0.000000E+00   0.171444E+08   0.171444E+08   0.171291E+08  -0.405273E+00   0.888639E+07   0.888636E+07   0.193156E+01
   0.555722E-02   0.171158E+08   0.171125E+08   0.152172E+04   0.171843E+05   0.000000E+00   0.171153E+08   0.171153E+08   0.171004E+08  -0.404583E+00   0.887135E+07   0.887132E+07   0.194765E+01
