#           k/h    P           
 0.73746312E-04 0.33210126E+03
 0.82412909E-04 0.36972772E+03
 0.92098002E-04 0.41161649E+03
 0.10292127E-03 0.45825024E+03
 0.11501648E-03 0.51016611E+03
 0.12853311E-03 0.56796161E+03
 0.14363820E-03 0.63230219E+03
 0.16051844E-03 0.70392792E+03
 0.17938240E-03 0.78366168E+03
 0.20046326E-03 0.87241998E+03
 0.22402151E-03 0.97122034E+03
 0.25034833E-03 0.10811945E+04
 0.27976901E-03 0.12035990E+04
 0.31264720E-03 0.13398293E+04
 0.34938921E-03 0.14914318E+04
 0.39044913E-03 0.16601179E+04
 0.43633435E-03 0.18477784E+04
 0.48761195E-03 0.20564961E+04
 0.54491562E-03 0.22885549E+04
 0.60895365E-03 0.25464463E+04
 0.68051729E-03 0.28328667E+04
 0.76049106E-03 0.31507090E+04
 0.84986322E-03 0.35030378E+04
 0.94973837E-03 0.38930574E+04
 0.10613507E-02 0.43240625E+04
 0.11860797E-02 0.47994014E+04
 0.13254667E-02 0.53224341E+04
 0.14812343E-02 0.58965005E+04
 0.16553076E-02 0.65248813E+04
 0.18498377E-02 0.72107192E+04
 0.20672290E-02 0.79568789E+04
 0.23101678E-02 0.87657881E+04
 0.25816567E-02 0.96392363E+04
 0.28850504E-02 0.10578140E+05
 0.32240988E-02 0.11582279E+05
 0.36029920E-02 0.12649981E+05
 0.40264120E-02 0.13777767E+05
 0.44995924E-02 0.14959992E+05
 0.50283805E-02 0.16188414E+05
 0.50845630E-02 0.16313395E+05
 0.51413728E-02 0.16438709E+05
 0.51988177E-02 0.16564352E+05
 0.52569048E-02 0.16690307E+05
 0.53156405E-02 0.16816561E+05
 0.53750323E-02 0.16943098E+05
 0.54350882E-02 0.17069900E+05
 0.54958146E-02 0.17196961E+05
 0.55572200E-02 0.17324254E+05
 0.56193108E-02 0.17451771E+05
 0.56820959E-02 0.17579494E+05
 0.57455823E-02 0.17707400E+05
 0.58097783E-02 0.17835486E+05
 0.58746911E-02 0.17963723E+05
 0.59403297E-02 0.18092088E+05
 0.60067014E-02 0.18220580E+05
 0.60738144E-02 0.18349162E+05
 0.61416775E-02 0.18477832E+05
 0.62102992E-02 0.18606551E+05
 0.62796869E-02 0.18735316E+05
 0.63498504E-02 0.18864100E+05
 0.64207977E-02 0.18992879E+05
 0.64925379E-02 0.19121631E+05
 0.65650796E-02 0.19250348E+05
 0.66384315E-02 0.19378988E+05
 0.67126034E-02 0.19507539E+05
 0.67876037E-02 0.19635975E+05
 0.68634418E-02 0.19764275E+05
 0.69401278E-02 0.19892414E+05
 0.70176702E-02 0.20020367E+05
 0.70960792E-02 0.20148105E+05
 0.71753641E-02 0.20275605E+05
 0.72555346E-02 0.20402848E+05
 0.73366016E-02 0.20529795E+05
 0.74185738E-02 0.20656422E+05
 0.75014620E-02 0.20782709E+05
 0.75852764E-02 0.20908623E+05
 0.76700272E-02 0.21034133E+05
 0.77557247E-02 0.21159215E+05
 0.78423806E-02 0.21283834E+05
 0.79300040E-02 0.21407963E+05
 0.80186063E-02 0.21531570E+05
 0.81081986E-02 0.21654629E+05
 0.81987921E-02 0.21777102E+05
 0.82903979E-02 0.21898959E+05
 0.83830273E-02 0.22020168E+05
 0.84766913E-02 0.22140691E+05
 0.85714012E-02 0.22260502E+05
 0.86671701E-02 0.22379564E+05
 0.87640090E-02 0.22497842E+05
 0.88619301E-02 0.22615295E+05
 0.89609455E-02 0.22731896E+05
 0.90610664E-02 0.22847602E+05
 0.91623068E-02 0.22962381E+05
 0.92646778E-02 0.23076191E+05
 0.93681924E-02 0.23189002E+05
 0.94728637E-02 0.23300760E+05
 0.95787048E-02 0.23411439E+05
 0.96857287E-02 0.23521004E+05
 0.97939475E-02 0.23629400E+05
 0.99033760E-02 0.23736594E+05
 0.10014027E-01 0.23842547E+05
 0.10125915E-01 0.23947211E+05
 0.10239053E-01 0.24050555E+05
 0.10353453E-01 0.24152521E+05
 0.10469134E-01 0.24253086E+05
 0.10586106E-01 0.24352188E+05
 0.10704385E-01 0.24449789E+05
 0.10823986E-01 0.24545850E+05
 0.10944923E-01 0.24640316E+05
 0.11067212E-01 0.24733150E+05
 0.11190866E-01 0.24824303E+05
 0.11315903E-01 0.24913732E+05
 0.11442336E-01 0.25001391E+05
 0.11570182E-01 0.25087223E+05
 0.11699457E-01 0.25171193E+05
 0.11830175E-01 0.25253246E+05
 0.11962355E-01 0.25333338E+05
 0.12096011E-01 0.25411418E+05
 0.12231161E-01 0.25487436E+05
 0.12367820E-01 0.25561350E+05
 0.12506006E-01 0.25633100E+05
 0.12645737E-01 0.25702650E+05
 0.12787029E-01 0.25769939E+05
 0.12929899E-01 0.25834926E+05
 0.13074365E-01 0.25897557E+05
 0.13220446E-01 0.25957775E+05
 0.13368160E-01 0.26015543E+05
 0.13517523E-01 0.26070803E+05
 0.13668555E-01 0.26123502E+05
 0.13821275E-01 0.26173604E+05
 0.13975700E-01 0.26221043E+05
 0.14131852E-01 0.26265777E+05
 0.14289748E-01 0.26307752E+05
 0.14449408E-01 0.26346920E+05
 0.14610853E-01 0.26383238E+05
 0.14774101E-01 0.26416648E+05
 0.14939173E-01 0.26447104E+05
 0.15106089E-01 0.26474559E+05
 0.15274871E-01 0.26498965E+05
 0.15445538E-01 0.26520270E+05
 0.15618112E-01 0.26538430E+05
 0.15792614E-01 0.26553400E+05
 0.15969066E-01 0.26565139E+05
 0.16147491E-01 0.26573592E+05
 0.16327906E-01 0.26578717E+05
 0.16510339E-01 0.26580480E+05
 0.16694810E-01 0.26578822E+05
 0.16881343E-01 0.26573721E+05
 0.17069960E-01 0.26565127E+05
 0.17260684E-01 0.26553004E+05
 0.17453538E-01 0.26537305E+05
 0.17648548E-01 0.26518008E+05
 0.17845737E-01 0.26495064E+05
 0.18045127E-01 0.26468451E+05
 0.18246748E-01 0.26438131E+05
 0.18450620E-01 0.26404082E+05
 0.18656770E-01 0.26366271E+05
 0.18865222E-01 0.26324664E+05
 0.19076005E-01 0.26279246E+05
 0.19289143E-01 0.26230000E+05
 0.19504661E-01 0.26176893E+05
 0.19722588E-01 0.26119916E+05
 0.19942950E-01 0.26059053E+05
 0.20165775E-01 0.25994293E+05
 0.20391088E-01 0.25925625E+05
 0.20618919E-01 0.25853033E+05
 0.20849295E-01 0.25776527E+05
 0.21082247E-01 0.25696102E+05
 0.21317799E-01 0.25611758E+05
 0.21555984E-01 0.25523492E+05
 0.21796832E-01 0.25431326E+05
 0.22040369E-01 0.25335264E+05
 0.22286627E-01 0.25235324E+05
 0.22535637E-01 0.25131523E+05
 0.22787429E-01 0.25023885E+05
 0.23042034E-01 0.24912439E+05
 0.23299485E-01 0.24797211E+05
 0.23559812E-01 0.24678236E+05
 0.23823047E-01 0.24555555E+05
 0.24089225E-01 0.24429203E+05
 0.24358375E-01 0.24299236E+05
